-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Success on image 02178.png

---------------Testing image 06971.png---------------
Prior Model Confidence in true class 38:     99.284744% (before attack)
Prior Model prediction was class     38 with 99.284744% confidence (before attack)

Model Confidence in true class 38:     98.327243%
Model prediction was class     38 with 98.327243% confidence

Model Confidence in true class 38:     98.327243%
Model prediction was class     38 with 98.327243% confidence

Model Confidence in true class 38:     98.000622%
Model prediction was class     38 with 98.000622% confidence

Model Confidence in true class 38:     97.905821%
Model prediction was class     38 with 97.905821% confidence

Model Confidence in true class 38:     97.887391%
Model prediction was class     38 with 97.887391% confidence

Model Confidence in true class 38:     97.867364%
Model prediction was class     38 with 97.867364% confidence

Model Confidence in true class 38:     97.704816%
Model prediction was class     38 with 97.704816% confidence

Model Confidence in true class 38:     97.640377%
Model prediction was class     38 with 97.640377% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.587198%
Model prediction was class     38 with 97.587198% confidence

Model Confidence in true class 38:     97.584939%
Model prediction was class     38 with 97.584939% confidence

Model Confidence in true class 38:     97.563803%
Model prediction was class     38 with 97.563803% confidence

Model Confidence in true class 38:     97.563803%
Model prediction was class     38 with 97.563803% confidence

Model Confidence in true class 38:     97.551924%
Model prediction was class     38 with 97.551924% confidence

Model Confidence in true class 38:     97.551924%
Model prediction was class     38 with 97.551924% confidence

Model Confidence in true class 38:     97.551924%
Model prediction was class     38 with 97.551924% confidence

Reached max iterations, attack unsuccessful on image 06971.png

---------------Testing image 12063.png---------------
Prior Model Confidence in true class 4:     96.968532% (before attack)
Prior Model prediction was class     4 with 96.968532% confidence (before attack)

Model Confidence in true class 4:     12.672752%
Model prediction was class     8 with 84.294873% confidence

Success on image 12063.png

10 samples tested so far
---------------Testing image 10375.png---------------
Prior Model Confidence in true class 17:     99.598902% (before attack)
Prior Model prediction was class     17 with 99.598902% confidence (before attack)

Model Confidence in true class 17:     99.107152%
Model prediction was class     17 with 99.107152% confidence

Model Confidence in true class 17:     98.981982%
Model prediction was class     17 with 98.981982% confidence

Model Confidence in true class 17:     98.955005%
Model prediction was class     17 with 98.955005% confidence

Model Confidence in true class 17:     98.919392%
Model prediction was class     17 with 98.919392% confidence

Model Confidence in true class 17:     98.884308%
Model prediction was class     17 with 98.884308% confidence

Model Confidence in true class 17:     98.833293%
Model prediction was class     17 with 98.833293% confidence

Model Confidence in true class 17:     98.833293%
Model prediction was class     17 with 98.833293% confidence

Model Confidence in true class 17:     98.771673%
Model prediction was class     17 with 98.771673% confidence

Model Confidence in true class 17:     98.771673%
Model prediction was class     17 with 98.771673% confidence

Model Confidence in true class 17:     98.725837%
Model prediction was class     17 with 98.725837% confidence

Model Confidence in true class 17:     98.699909%
Model prediction was class     17 with 98.699909% confidence

Model Confidence in true class 17:     98.699909%
Model prediction was class     17 with 98.699909% confidence

Model Confidence in true class 17:     98.496199%
Model prediction was class     17 with 98.496199% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.489469%
Model prediction was class     17 with 98.489469% confidence

Model Confidence in true class 17:     98.484451%
Model prediction was class     17 with 98.484451% confidence

Reached max iterations, attack unsuccessful on image 10375.png

---------------Testing image 04959.png---------------
Prior Model Confidence in true class 2:     99.763775% (before attack)
Prior Model prediction was class     2 with 99.763775% confidence (before attack)

Model Confidence in true class 2:     97.792405%
Model prediction was class     2 with 97.792405% confidence

Model Confidence in true class 2:     97.792405%
Model prediction was class     2 with 97.792405% confidence

Model Confidence in true class 2:     94.929862%
Model prediction was class     2 with 94.929862% confidence

Model Confidence in true class 2:     94.929862%
Model prediction was class     2 with 94.929862% confidence

Model Confidence in true class 2:     91.470820%
Model prediction was class     2 with 91.470820% confidence

Model Confidence in true class 2:     91.470820%
Model prediction was class     2 with 91.470820% confidence

Model Confidence in true class 2:     89.618891%
Model prediction was class     2 with 89.618891% confidence

Model Confidence in true class 2:     85.360974%
Model prediction was class     2 with 85.360974% confidence

Model Confidence in true class 2:     83.388996%
Model prediction was class     2 with 83.388996% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.750469%
Model prediction was class     2 with 76.750469% confidence

Model Confidence in true class 2:     76.027989%
Model prediction was class     2 with 76.027989% confidence

Model Confidence in true class 2:     76.027989%
Model prediction was class     2 with 76.027989% confidence

Reached max iterations, attack unsuccessful on image 04959.png

---------------Testing image 12579.png---------------
Prior Model Confidence in true class 20:     95.716101% (before attack)
Prior Model prediction was class     20 with 95.716101% confidence (before attack)

Model Confidence in true class 20:     87.478244%
Model prediction was class     20 with 87.478244% confidence

Model Confidence in true class 20:     87.478244%
Model prediction was class     20 with 87.478244% confidence

Model Confidence in true class 20:     85.508555%
Model prediction was class     20 with 85.508555% confidence

Model Confidence in true class 20:     85.479671%
Model prediction was class     20 with 85.479671% confidence

Model Confidence in true class 20:     80.180275%
Model prediction was class     20 with 80.180275% confidence

Model Confidence in true class 20:     79.982662%
Model prediction was class     20 with 79.982662% confidence

Model Confidence in true class 20:     76.154619%
Model prediction was class     20 with 76.154619% confidence

Model Confidence in true class 20:     74.939853%
Model prediction was class     20 with 74.939853% confidence

Model Confidence in true class 20:     74.939853%
Model prediction was class     20 with 74.939853% confidence

Model Confidence in true class 20:     72.864491%
Model prediction was class     20 with 72.864491% confidence

Model Confidence in true class 20:     72.864491%
Model prediction was class     20 with 72.864491% confidence

Model Confidence in true class 20:     72.864491%
Model prediction was class     20 with 72.864491% confidence

Model Confidence in true class 20:     72.687709%
Model prediction was class     20 with 72.687709% confidence

Model Confidence in true class 20:     72.687709%
Model prediction was class     20 with 72.687709% confidence

Model Confidence in true class 20:     70.538580%
Model prediction was class     20 with 70.538580% confidence

Model Confidence in true class 20:     70.538580%
Model prediction was class     20 with 70.538580% confidence

Model Confidence in true class 20:     70.538580%
Model prediction was class     20 with 70.538580% confidence

Model Confidence in true class 20:     70.340723%
Model prediction was class     20 with 70.340723% confidence

Model Confidence in true class 20:     70.340723%
Model prediction was class     20 with 70.340723% confidence

Model Confidence in true class 20:     70.340723%
Model prediction was class     20 with 70.340723% confidence

Reached max iterations, attack unsuccessful on image 12579.png

---------------Testing image 07940.png---------------
Prior Model Confidence in true class 13:     99.945790% (before attack)
Prior Model prediction was class     13 with 99.945790% confidence (before attack)

Model Confidence in true class 13:     99.865603%
Model prediction was class     13 with 99.865603% confidence

Model Confidence in true class 13:     99.861968%
Model prediction was class     13 with 99.861968% confidence

Model Confidence in true class 13:     99.861968%
Model prediction was class     13 with 99.861968% confidence

Model Confidence in true class 13:     99.855083%
Model prediction was class     13 with 99.855083% confidence

Model Confidence in true class 13:     99.855083%
Model prediction was class     13 with 99.855083% confidence

Model Confidence in true class 13:     99.827063%
Model prediction was class     13 with 99.827063% confidence

Model Confidence in true class 13:     99.815601%
Model prediction was class     13 with 99.815601% confidence

Model Confidence in true class 13:     99.797100%
Model prediction was class     13 with 99.797100% confidence

Model Confidence in true class 13:     99.797100%
Model prediction was class     13 with 99.797100% confidence

Model Confidence in true class 13:     99.787915%
Model prediction was class     13 with 99.787915% confidence

Model Confidence in true class 13:     99.782902%
Model prediction was class     13 with 99.782902% confidence

Model Confidence in true class 13:     99.777031%
Model prediction was class     13 with 99.777031% confidence

Model Confidence in true class 13:     99.776018%
Model prediction was class     13 with 99.776018% confidence

Model Confidence in true class 13:     99.776018%
Model prediction was class     13 with 99.776018% confidence

Model Confidence in true class 13:     99.776018%
Model prediction was class     13 with 99.776018% confidence

Model Confidence in true class 13:     99.776018%
Model prediction was class     13 with 99.776018% confidence

Model Confidence in true class 13:     99.772185%
Model prediction was class     13 with 99.772185% confidence

Model Confidence in true class 13:     99.772185%
Model prediction was class     13 with 99.772185% confidence

Model Confidence in true class 13:     99.772185%
Model prediction was class     13 with 99.772185% confidence

Model Confidence in true class 13:     99.772185%
Model prediction was class     13 with 99.772185% confidence

Reached max iterations, attack unsuccessful on image 07940.png

---------------Testing image 02604.png---------------
Prior Model Confidence in true class 2:     99.913198% (before attack)
Prior Model prediction was class     2 with 99.913198% confidence (before attack)

Model Confidence in true class 2:     65.430957%
Model prediction was class     2 with 65.430957% confidence

Model Confidence in true class 2:     60.633785%
Model prediction was class     2 with 60.633785% confidence

Model Confidence in true class 2:     60.633785%
Model prediction was class     2 with 60.633785% confidence

Model Confidence in true class 2:     8.469176%
Model prediction was class     5 with 59.418404% confidence

Success on image 02604.png

---------------Testing image 06359.png---------------
Prior Model Confidence in true class 4:     99.985552% (before attack)
Prior Model prediction was class     4 with 99.985552% confidence (before attack)

Model Confidence in true class 4:     99.766904%
Model prediction was class     4 with 99.766904% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586701%
Model prediction was class     4 with 99.586701% confidence

Model Confidence in true class 4:     99.586427%
Model prediction was class     4 with 99.586427% confidence

Model Confidence in true class 4:     99.456257%
Model prediction was class     4 with 99.456257% confidence

Model Confidence in true class 4:     99.456257%
Model prediction was class     4 with 99.456257% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.412823%
Model prediction was class     4 with 99.412823% confidence

Model Confidence in true class 4:     99.393094%
Model prediction was class     4 with 99.393094% confidence

Model Confidence in true class 4:     99.393094%
Model prediction was class     4 with 99.393094% confidence

Model Confidence in true class 4:     99.393094%
Model prediction was class     4 with 99.393094% confidence

Model Confidence in true class 4:     99.391079%
Model prediction was class     4 with 99.391079% confidence

Reached max iterations, attack unsuccessful on image 06359.png

---------------Testing image 01580.png---------------
Prior Model Confidence in true class 6:     99.958569% (before attack)
Prior Model prediction was class     6 with 99.958569% confidence (before attack)

Model Confidence in true class 6:     99.796534%
Model prediction was class     6 with 99.796534% confidence

Model Confidence in true class 6:     99.791926%
Model prediction was class     6 with 99.791926% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.639422%
Model prediction was class     6 with 99.639422% confidence

Model Confidence in true class 6:     99.604177%
Model prediction was class     6 with 99.604177% confidence

Model Confidence in true class 6:     99.604177%
Model prediction was class     6 with 99.604177% confidence

Model Confidence in true class 6:     99.599528%
Model prediction was class     6 with 99.599528% confidence

Model Confidence in true class 6:     99.599528%
Model prediction was class     6 with 99.599528% confidence

Model Confidence in true class 6:     99.599528%
Model prediction was class     6 with 99.599528% confidence

Model Confidence in true class 6:     99.596137%
Model prediction was class     6 with 99.596137% confidence

Model Confidence in true class 6:     99.596137%
Model prediction was class     6 with 99.596137% confidence

Model Confidence in true class 6:     99.596137%
Model prediction was class     6 with 99.596137% confidence

Model Confidence in true class 6:     99.596137%
Model prediction was class     6 with 99.596137% confidence

Model Confidence in true class 6:     99.594951%
Model prediction was class     6 with 99.594951% confidence

Model Confidence in true class 6:     99.592763%
Model prediction was class     6 with 99.592763% confidence

Model Confidence in true class 6:     99.592763%
Model prediction was class     6 with 99.592763% confidence

Reached max iterations, attack unsuccessful on image 01580.png

---------------Testing image 03750.png---------------
Prior Model Confidence in true class 35:     99.990308% (before attack)
Prior Model prediction was class     35 with 99.990308% confidence (before attack)

Model Confidence in true class 35:     99.976879%
Model prediction was class     35 with 99.976879% confidence

Model Confidence in true class 35:     99.976331%
Model prediction was class     35 with 99.976331% confidence

Model Confidence in true class 35:     99.973780%
Model prediction was class     35 with 99.973780% confidence

Model Confidence in true class 35:     99.973780%
Model prediction was class     35 with 99.973780% confidence

Model Confidence in true class 35:     99.970907%
Model prediction was class     35 with 99.970907% confidence

Model Confidence in true class 35:     99.970645%
Model prediction was class     35 with 99.970645% confidence

Model Confidence in true class 35:     99.970394%
Model prediction was class     35 with 99.970394% confidence

Model Confidence in true class 35:     99.970251%
Model prediction was class     35 with 99.970251% confidence

Model Confidence in true class 35:     99.969709%
Model prediction was class     35 with 99.969709% confidence

