-----Attacking Parameters:-----
Test folder:     /home/jonah/neuralnets/GTSRB_resnet/Test
Model Confidence in true class 2:     99.770772%
Model prediction was class     2 with 99.770772% confidence

Model Confidence in true class 2:     99.770772%
Model prediction was class     2 with 99.770772% confidence

Model Confidence in true class 2:     99.637789%
Model prediction was class     2 with 99.637789% confidence

Model Confidence in true class 2:     99.637789%
Model prediction was class     2 with 99.637789% confidence

Model Confidence in true class 2:     99.610716%
Model prediction was class     2 with 99.610716% confidence

Model Confidence in true class 2:     99.471515%
Model prediction was class     2 with 99.471515% confidence

Model Confidence in true class 2:     99.016166%
Model prediction was class     2 with 99.016166% confidence

Model Confidence in true class 2:     99.016166%
Model prediction was class     2 with 99.016166% confidence

Model Confidence in true class 2:     98.955828%
Model prediction was class     2 with 98.955828% confidence

Model Confidence in true class 2:     98.610640%
Model prediction was class     2 with 98.610640% confidence

Model Confidence in true class 2:     98.610640%
Model prediction was class     2 with 98.610640% confidence

Model Confidence in true class 2:     98.610640%
Model prediction was class     2 with 98.610640% confidence

Model Confidence in true class 2:     98.610640%
Model prediction was class     2 with 98.610640% confidence

Model Confidence in true class 2:     98.556548%
Model prediction was class     2 with 98.556548% confidence

Model Confidence in true class 2:     98.531753%
Model prediction was class     2 with 98.531753% confidence

Model Confidence in true class 2:     98.523641%
Model prediction was class     2 with 98.523641% confidence

Model Confidence in true class 2:     98.523641%
Model prediction was class     2 with 98.523641% confidence

Model Confidence in true class 2:     98.523641%
Model prediction was class     2 with 98.523641% confidence

Reached max iterations, attack unsuccessful on image 03716.png

---------------Testing image 00865.png---------------
Prior Model Confidence in true class 33:     99.886656% (before attack)
Prior Model prediction was class     33 with 99.886656% confidence (before attack)

Model Confidence in true class 33:     99.732274%
Model prediction was class     33 with 99.732274% confidence

Model Confidence in true class 33:     99.711835%
Model prediction was class     33 with 99.711835% confidence

Model Confidence in true class 33:     99.704129%
Model prediction was class     33 with 99.704129% confidence

Model Confidence in true class 33:     99.694794%
Model prediction was class     33 with 99.694794% confidence

Model Confidence in true class 33:     99.694794%
Model prediction was class     33 with 99.694794% confidence

Model Confidence in true class 33:     99.607086%
Model prediction was class     33 with 99.607086% confidence

Model Confidence in true class 33:     99.607086%
Model prediction was class     33 with 99.607086% confidence

Model Confidence in true class 33:     99.607086%
Model prediction was class     33 with 99.607086% confidence

Model Confidence in true class 33:     99.604094%
Model prediction was class     33 with 99.604094% confidence

Model Confidence in true class 33:     99.604094%
Model prediction was class     33 with 99.604094% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.556941%
Model prediction was class     33 with 99.556941% confidence

Model Confidence in true class 33:     99.555677%
Model prediction was class     33 with 99.555677% confidence

Model Confidence in true class 33:     99.551684%
Model prediction was class     33 with 99.551684% confidence

Model Confidence in true class 33:     99.551684%
Model prediction was class     33 with 99.551684% confidence

Model Confidence in true class 33:     99.551612%
Model prediction was class     33 with 99.551612% confidence

Reached max iterations, attack unsuccessful on image 00865.png

---------------Testing image 00503.png---------------
Prior Model Confidence in true class 7:     89.595425% (before attack)
Prior Model prediction was class     7 with 89.595425% confidence (before attack)

Model Confidence in true class 7:     54.979873%
Model prediction was class     7 with 54.979873% confidence

Model Confidence in true class 7:     44.449022%
Model prediction was class     7 with 44.449022% confidence

Model Confidence in true class 7:     44.449022%
Model prediction was class     7 with 44.449022% confidence

Model Confidence in true class 7:     42.071518%
Model prediction was class     7 with 42.071518% confidence

Model Confidence in true class 7:     41.872373%
Model prediction was class     7 with 41.872373% confidence

Model Confidence in true class 7:     41.188952%
Model prediction was class     7 with 41.188952% confidence

Model Confidence in true class 7:     37.488776%
Model prediction was class     8 with 38.783717% confidence

Success on image 00503.png

10 samples tested so far
---------------Testing image 05567.png---------------
Prior Model Confidence in true class 12:     98.017168% (before attack)
Prior Model prediction was class     12 with 98.017168% confidence (before attack)

Model Confidence in true class 12:     96.399432%
Model prediction was class     12 with 96.399432% confidence

Model Confidence in true class 12:     96.399432%
Model prediction was class     12 with 96.399432% confidence

Model Confidence in true class 12:     96.093631%
Model prediction was class     12 with 96.093631% confidence

Model Confidence in true class 12:     96.021873%
Model prediction was class     12 with 96.021873% confidence

Model Confidence in true class 12:     96.021873%
Model prediction was class     12 with 96.021873% confidence

Model Confidence in true class 12:     96.021873%
Model prediction was class     12 with 96.021873% confidence

Model Confidence in true class 12:     96.021873%
Model prediction was class     12 with 96.021873% confidence

Model Confidence in true class 12:     95.880240%
Model prediction was class     12 with 95.880240% confidence

Model Confidence in true class 12:     95.880240%
Model prediction was class     12 with 95.880240% confidence

Model Confidence in true class 12:     95.860350%
Model prediction was class     12 with 95.860350% confidence

Model Confidence in true class 12:     95.860350%
Model prediction was class     12 with 95.860350% confidence

Model Confidence in true class 12:     95.795095%
Model prediction was class     12 with 95.795095% confidence

Model Confidence in true class 12:     95.359451%
Model prediction was class     12 with 95.359451% confidence

Model Confidence in true class 12:     95.359451%
Model prediction was class     12 with 95.359451% confidence

Model Confidence in true class 12:     95.258951%
Model prediction was class     12 with 95.258951% confidence

Model Confidence in true class 12:     95.258951%
Model prediction was class     12 with 95.258951% confidence

Model Confidence in true class 12:     95.232064%
Model prediction was class     12 with 95.232064% confidence

Model Confidence in true class 12:     95.232064%
Model prediction was class     12 with 95.232064% confidence

Model Confidence in true class 12:     95.216012%
Model prediction was class     12 with 95.216012% confidence

Model Confidence in true class 12:     95.216012%
Model prediction was class     12 with 95.216012% confidence

Reached max iterations, attack unsuccessful on image 05567.png

---------------Testing image 00360.png---------------
Prior Model Confidence in true class 9:     99.993920% (before attack)
Prior Model prediction was class     9 with 99.993920% confidence (before attack)

Model Confidence in true class 9:     99.973243%
Model prediction was class     9 with 99.973243% confidence

Model Confidence in true class 9:     99.973243%
Model prediction was class     9 with 99.973243% confidence

Model Confidence in true class 9:     99.973243%
Model prediction was class     9 with 99.973243% confidence

Model Confidence in true class 9:     99.973243%
Model prediction was class     9 with 99.973243% confidence

Model Confidence in true class 9:     99.970955%
Model prediction was class     9 with 99.970955% confidence

Model Confidence in true class 9:     99.970955%
Model prediction was class     9 with 99.970955% confidence

Model Confidence in true class 9:     99.970955%
Model prediction was class     9 with 99.970955% confidence

Model Confidence in true class 9:     99.970824%
Model prediction was class     9 with 99.970824% confidence

Model Confidence in true class 9:     99.970824%
Model prediction was class     9 with 99.970824% confidence

Model Confidence in true class 9:     99.970824%
Model prediction was class     9 with 99.970824% confidence

Model Confidence in true class 9:     99.969506%
Model prediction was class     9 with 99.969506% confidence

Model Confidence in true class 9:     99.969506%
Model prediction was class     9 with 99.969506% confidence

Model Confidence in true class 9:     99.969506%
Model prediction was class     9 with 99.969506% confidence

Model Confidence in true class 9:     99.967492%
Model prediction was class     9 with 99.967492% confidence

Model Confidence in true class 9:     99.966991%
Model prediction was class     9 with 99.966991% confidence

Model Confidence in true class 9:     99.966490%
Model prediction was class     9 with 99.966490% confidence

Model Confidence in true class 9:     99.966490%
Model prediction was class     9 with 99.966490% confidence

Model Confidence in true class 9:     99.966490%
Model prediction was class     9 with 99.966490% confidence

Model Confidence in true class 9:     99.966455%
Model prediction was class     9 with 99.966455% confidence

Model Confidence in true class 9:     99.965978%
Model prediction was class     9 with 99.965978% confidence

Reached max iterations, attack unsuccessful on image 00360.png

---------------Testing image 00535.png---------------
Prior Model Confidence in true class 31:     99.687201% (before attack)
Prior Model prediction was class     31 with 99.687201% confidence (before attack)

Model Confidence in true class 31:     99.107939%
Model prediction was class     31 with 99.107939% confidence

Model Confidence in true class 31:     98.832172%
Model prediction was class     31 with 98.832172% confidence

Model Confidence in true class 31:     98.832172%
Model prediction was class     31 with 98.832172% confidence

Model Confidence in true class 31:     98.096770%
Model prediction was class     31 with 98.096770% confidence

Model Confidence in true class 31:     97.974169%
Model prediction was class     31 with 97.974169% confidence

Model Confidence in true class 31:     97.974169%
Model prediction was class     31 with 97.974169% confidence

Model Confidence in true class 31:     97.974169%
Model prediction was class     31 with 97.974169% confidence

Model Confidence in true class 31:     97.974169%
Model prediction was class     31 with 97.974169% confidence

Model Confidence in true class 31:     97.635537%
Model prediction was class     31 with 97.635537% confidence

Model Confidence in true class 31:     97.288853%
Model prediction was class     31 with 97.288853% confidence

Model Confidence in true class 31:     97.288853%
Model prediction was class     31 with 97.288853% confidence

Model Confidence in true class 31:     97.288853%
Model prediction was class     31 with 97.288853% confidence

Model Confidence in true class 31:     97.103733%
Model prediction was class     31 with 97.103733% confidence

Model Confidence in true class 31:     97.025687%
Model prediction was class     31 with 97.025687% confidence

Model Confidence in true class 31:     97.025687%
Model prediction was class     31 with 97.025687% confidence

Model Confidence in true class 31:     97.025687%
Model prediction was class     31 with 97.025687% confidence

Model Confidence in true class 31:     97.025687%
Model prediction was class     31 with 97.025687% confidence

Model Confidence in true class 31:     97.025687%
Model prediction was class     31 with 97.025687% confidence

Model Confidence in true class 31:     97.016382%
Model prediction was class     31 with 97.016382% confidence

Model Confidence in true class 31:     96.993649%
Model prediction was class     31 with 96.993649% confidence

Reached max iterations, attack unsuccessful on image 00535.png

---------------Testing image 04041.png---------------
Prior Model Confidence in true class 9:     99.953806% (before attack)
Prior Model prediction was class     9 with 99.953806% confidence (before attack)

Model Confidence in true class 9:     99.803382%
Model prediction was class     9 with 99.803382% confidence

Model Confidence in true class 9:     99.688560%
Model prediction was class     9 with 99.688560% confidence

Model Confidence in true class 9:     99.688560%
Model prediction was class     9 with 99.688560% confidence

Model Confidence in true class 9:     99.497968%
Model prediction was class     9 with 99.497968% confidence

Model Confidence in true class 9:     99.497968%
Model prediction was class     9 with 99.497968% confidence

Model Confidence in true class 9:     98.801875%
Model prediction was class     9 with 98.801875% confidence

Model Confidence in true class 9:     98.801875%
Model prediction was class     9 with 98.801875% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.623949%
Model prediction was class     9 with 98.623949% confidence

Model Confidence in true class 9:     98.570216%
Model prediction was class     9 with 98.570216% confidence

Model Confidence in true class 9:     98.570216%
Model prediction was class     9 with 98.570216% confidence

Model Confidence in true class 9:     98.570216%
Model prediction was class     9 with 98.570216% confidence

Model Confidence in true class 9:     98.535144%
Model prediction was class     9 with 98.535144% confidence

Model Confidence in true class 9:     98.530573%
Model prediction was class     9 with 98.530573% confidence

Model Confidence in true class 9:     98.530573%
Model prediction was class     9 with 98.530573% confidence

Model Confidence in true class 9:     98.530573%
Model prediction was class     9 with 98.530573% confidence

Reached max iterations, attack unsuccessful on image 04041.png

---------------Testing image 01817.png---------------
Prior Model Confidence in true class 18:     38.354233% (before attack)
Prior Model prediction was class     18 with 38.354233% confidence (before attack)

Model Confidence in true class 18:     20.156215%
Model prediction was class     21 with 23.110890% confidence

Success on image 01817.png

---------------Testing image 02405.png---------------
Prior Model Confidence in true class 1:     99.227190% (before attack)
Prior Model prediction was class     1 with 99.227190% confidence (before attack)

Model Confidence in true class 1:     98.158628%
Model prediction was class     1 with 98.158628% confidence

Model Confidence in true class 1:     97.764504%
Model prediction was class     1 with 97.764504% confidence

Model Confidence in true class 1:     97.764504%
Model prediction was class     1 with 97.764504% confidence

Model Confidence in true class 1:     97.764504%
Model prediction was class     1 with 97.764504% confidence

Model Confidence in true class 1:     97.716630%
Model prediction was class     1 with 97.716630% confidence

Model Confidence in true class 1:     97.716630%
Model prediction was class     1 with 97.716630% confidence

Model Confidence in true class 1:     97.716630%
Model prediction was class     1 with 97.716630% confidence

Model Confidence in true class 1:     97.404367%
Model prediction was class     1 with 97.404367% confidence

Model Confidence in true class 1:     97.404367%
Model prediction was class     1 with 97.404367% confidence

Model Confidence in true class 1:     97.338617%
Model prediction was class     1 with 97.338617% confidence

Model Confidence in true class 1:     97.338617%
Model prediction was class     1 with 97.338617% confidence

Model Confidence in true class 1:     97.303855%
Model prediction was class     1 with 97.303855% confidence

Model Confidence in true class 1:     97.303855%
Model prediction was class     1 with 97.303855% confidence

Model Confidence in true class 1:     97.273296%
Model prediction was class     1 with 97.273296% confidence

Model Confidence in true class 1:     97.273296%
Model prediction was class     1 with 97.273296% confidence

Model Confidence in true class 1:     97.273296%
Model prediction was class     1 with 97.273296% confidence

Model Confidence in true class 1:     97.273296%
Model prediction was class     1 with 97.273296% confidence

Model Confidence in true class 1:     97.243798%
Model prediction was class     1 with 97.243798% confidence

Model Confidence in true class 1:     97.243798%
Model prediction was class     1 with 97.243798% confidence

Model Confidence in true class 1:     97.243798%
Model prediction was class     1 with 97.243798% confidence

Reached max iterations, attack unsuccessful on image 02405.png

---------------Testing image 01960.png---------------
Prior Model Confidence in true class 1:     99.634689% (before attack)
Prior Model prediction was class     1 with 99.634689% confidence (before attack)

Model Confidence in true class 1:     98.835820%
Model prediction was class     1 with 98.835820% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     97.628015%
Model prediction was class     1 with 97.628015% confidence

Model Confidence in true class 1:     96.896666%
Model prediction was class     1 with 96.896666% confidence

Model Confidence in true class 1:     96.745813%
Model prediction was class     1 with 96.745813% confidence

Model Confidence in true class 1:     96.334809%
Model prediction was class     1 with 96.334809% confidence

